joint_name|position_rad|force_N|torque_Nm|timestamp|phase
shoulder_pan_joint|-0.06981316953897476|0.0|0.0|0.03333333333333333|INITIAL
shoulder_lift_joint|-0.7033676505088806|0.0|0.0|0.03333333333333333|INITIAL
elbow_joint|0.6614798307418823|0.0|0.0|0.03333333333333333|INITIAL
wrist_1_joint|-1.5707963705062866|0.0|0.0|0.03333333333333333|INITIAL
wrist_2_joint|-1.5707963705062866|0.0|0.0|0.03333333333333333|INITIAL
wrist_3_joint|0.0|0.0|0.0|0.03333333333333333|INITIAL
shoulder_pan_joint|-0.06889867037534714|0.0|0.0|10.050000000000079|INITIAL
shoulder_lift_joint|-0.7031580209732056|326.3330383300781|152.04360961914062|10.050000000000079|INITIAL
elbow_joint|0.6615929007530212|291.9876403808594|152.02239990234375|10.050000000000079|INITIAL
wrist_1_joint|-1.5707948207855225|162.54263305664062|58.65858840942383|10.050000000000079|INITIAL
wrist_2_joint|-1.5707868337631226|98.7145004272461|5.488752365112305|10.050000000000079|INITIAL
wrist_3_joint|-4.157773219048977e-07|55.2615966796875|0.11797600984573364|10.050000000000079|INITIAL
shoulder_pan_joint|-0.06894683837890625|0.0|0.0|14.733333333333645|ACT_1
shoulder_lift_joint|-0.7028372287750244|0.0|0.0|14.733333333333645|ACT_1
elbow_joint|0.6617435216903687|0.0|0.0|14.733333333333645|ACT_1
wrist_1_joint|-1.5707945823669434|0.0|0.0|14.733333333333645|ACT_1
wrist_2_joint|-1.5707871913909912|0.0|0.0|14.733333333333645|ACT_1
wrist_3_joint|-4.062821972183883e-07|0.0|0.0|14.733333333333645|ACT_1
shoulder_pan_joint|-0.048811960965394974|0.0|0.0|24.749999999999876|ACT_1
shoulder_lift_joint|-0.5245119333267212|217.50738525390625|160.8800506591797|24.749999999999876|ACT_1
elbow_joint|0.6298511028289795|239.64723205566406|160.88604736328125|24.749999999999876|ACT_1
wrist_1_joint|-1.5708014965057373|225.9983367919922|68.7408218383789|24.749999999999876|ACT_1
wrist_2_joint|-1.570828914642334|197.1410369873047|13.284676551818848|24.749999999999876|ACT_1
wrist_3_joint|7.891118002589792e-06|179.2991943359375|22.19954490661621|24.749999999999876|ACT_1
